1,,Adiantum raddianum,Maidenhair Fern,foliage,fussy,8
2,,Aeschynanthus,Lipstick Plant,"foliage, flowering",easy,11
4,,Aglaonema commutatum,Chinese Evergreen,foliage,easy,7
5,,Alocasia amazonica,Elephant's Ear,foliage,fussy,10
6,,Aloe barbadensis,Aloe Vera,succulent,easy,5
7,,Aphelandra squarrosa,Zebra Plant,"foliage, flowering",fussy,11
9,,Asparagus aethiopicus,Asparagus Fern,foliage,fussy,5
10,,Aspidistra elatior,Cast Iron Plant,foliage,easy,15
11,,Asplenium nidus,Birds Nest Fern,foliage,fussy,6
12,,Brassia caudata,Spider Orchid,flowering,fussy,14
13,,Calathea lancifolia,Rattlesnake Plant,foliage,fussy,10
14,,Calathea makoyana,Peacock Plant,foliage,fussy,12
15,,Ceropegia woodii,String of Hearts,"succulent, foliage",easy,6
16,,Chamaedorea elegans,Parlor Palm,foliage,easy,9
17,,Chlorophytum comosum,Spider Plant,foliage,easy,7
18,,Coffea arabica,Coffee Plant,"foliage, flowering",fussy,9
19,,Crassula ovata,Jade Plant,succulent,easy,10
20,,Crassula perforata,String of Buttons,succulent,easy,11
21,,Curio rowleyanus,String of Pearls,succulent,easy,8
22,,Cyclamen persicum,Florist's Cyclamen,flowering,fussy,8
24,,Cymbidium spp.,Boat Orchid,flowering,fussy,15
25,,Dionaea muscipula,Venus Fly Trap,foliage,fussy,6
26,,Dracaena marginata,Dragon Tree,foliage,easy,12
27,,Dracaena sanderiana,Lucky bamboo,foliage,easy,6
28,,Dracaena trifasciata,Snake Plant,succulent,easy,9
29,,Echeveria spp.,Echeveria,succulent,easy,6
30,,Echinocereus spp.,Hedgehog Cactus,succulent,easy,5
31,,Echinopsis chamaecereus ,Peanut Cactus,succulent,easy,8
32,,Epipremnum aureum,Pothos,foliage,easy,9
33,,Euphorbia tirucalli,Pencil Cactus,succulent,easy,10
34,,Fenestraria rhopalophylla ,Baby Toes,succulent,easy,5
35,,Ficus benjamina,Weeping Fig,foliage,fussy,12
36,,Ficus elastica,Rubber Plant,foliage,easy,9
37,,Ficus lyrata,Fiddle Leaf Fig,foliage,fussy,15
38,,Fittonia verschaffeltii,Nerve Plant,foliage,fussy,8
39,,Gasteria spp.,Ox tongue,succulent,easy,6
40,,Guzmania lingulata ,Scarlet Star,flowering,fussy,7
41,,Hedera helix,English Ivy,foliage,easy,6
8,,Heptapleurum arboricola ,Umbrella Tree,foliage,easy,8
42,,Hoya carnosa,Wax Plant,flowering,easy,8
43,,Hoya kerrii ,Hoya Hearts,succulent,easy,6
44,,Huernia zebrina,Owl Eyes Succulent,"succulent, flowering",easy,8
45,,Kalanchoe blossfeldiana,Flaming Katy,"succulent, flowering",easy,6
46,,Kalanchoe tomentosa,Velvet leafs,succulent,easy,7
47,,Lithops spp.,Pebble plant,succulent,easy,5
48,,Ludisia discolor,Jewel Orchid,"foliage, flowering",fussy,8
49,,Maranta leuconeura,Prayer Plant,foliage,fussy,12
50,,Mimosa pudica,Sensitive Plant,"foliage, flowering",easy,6
51,,Monstera adansonii,Monkey Mask Plant,foliage,fussy,12
52,,Monstera deliciosa,Swiss Cheese Plant,foliage,fussy,8
53,,Nephrolepsis exaltata,Boston Fern,foliage,easy,6
54,,Opuntia microdasys,Bunny Ears Cactus,succulent,easy,7
55,,Opuntia spp.,Prickly Pear,succulent,easy,5
56,,Oxalis regnellii sp.,False Shamrock,flowering,easy,6
57,,Parodia magnifica,Ball cactus,succulent,easy,5
58,,Passiflora caerulea,Passion Flower,flowering,easy,6
59,,Peperomia prostrata,String of Turtles,"succulent, foliage",easy,5
60,,Phalaenopsis spp.,Moth Orchid,flowering,fussy,10
3,,Philodendron erubescens,Pink Princess,foliage,easy,9
61,,Philodendron erubescens,White Wizard,foliage,easy,10
62,,Philodendron mia ,Green Princess,foliage,easy,8
63,,Philodendron scandens,Heartleaf,foliage,easy,8
64,,Pilea argyreia ,Watermelon Peperomia,foliage,easy,8
65,,Pilea peperomioides,Chinese Money Plant,foliage,easy,6
66,,Pilosocereus,Blue Torch Cactus,succulent,easy,10
67,,Platycerium bifurcatum,Staghorn Fern,foliage,fussy,9
68,,Saintpaulia ionantha,African Violet,flowering,fussy,8
69,,Saxifraga stolonifera ,Strawberry Begonia,foliage,fussy,10
70,,Schlumbergera hybrids,Christmas Cactus,succulent,easy,9
71,,Scindapsus pictus,Satin Pothos,foliage,easy,6
72,,Sedum morganianum,Burro's Tail,succulent,easy,8
73,,Soleirolia soleirolii,Baby's tears,foliage,easy,7
74,,Spathiphyllum,Peace Lily,flowering,easy,9
75,,Stephanotis floribunda ,Madagascar Jasmine,flowering,fussy,12
76,,Strelitzia reginae ,Bird of Paradise,flowering,easy,13
77,,Streptocarpus x hibridus,Cape Primrose,flowering,fussy,10
78,,Syngonium podophyllum,Arrowhead Plant,foliage,easy,8
79,,Tillandsia Bergeri,Mad Pupper Air Plant,"foliage, flowering",easy,6
80,,Tillandsia ionantha,Air Plant,foliage,easy,5
